"CAMPAIGN_PERFORMANCE_REPORT (Oct 17, 2014-Nov 15, 2014)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Avg. CPC,CTR
61754214,Jan 2012,enabled,12107,474,1830738,3.92%
168839334,Centenary Products,enabled,31538,570,1650123,1.81%
152839494,Jan 2014 Display,paused,0,0,0,0.00%
69720054,Jan 2012 - Mobile,paused,0,0,0,0.00%
57309774,Special Features,removed,0,0,0,0.00%
177354414,AWX_002:00000000003b92c9_0000000000f87dbe,paused,0,0,0,0.00%
48369654,Totally Outdoors - Install,removed,0,0,0,0.00%
140925774,AWX_002:1556795e95c06740_0000000000f0a84e,paused,0,0,0,0.00%
45159984,Project Centre,removed,0,0,0,0.00%
49841214,Plans & Permits,paused,0,0,0,0.00%
49478214,DIY Kits,removed,0,0,0,0.00%
177354534,AWX_002:00000000003b92c9_0000000000f87dbe_content,paused,0,0,0,0.00%
81937854,Cantaport,removed,0,0,0,0.00%
155271894,Stratco,paused,0,0,0,0.00%
173739654,AWX_002:1556795e95c06740_0000000000cac0b3,removed,0,0,0,0.00%
56082534,Totally Outddors - New Web,removed,0,0,0,0.00%
Total, --, --,43645,1044,1732126,2.39%
